Sample_ID	Timepoint	Block	Treatment	Block_Position	Sample_Type	Tilling	Cover_Crop	Depth	Development		Comments
TP1_B1_ctcc_R1_Rh	TP1	B1	ctcc	R1	Rhizosphere	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R1_Root	TP1	B1	ctcc	R1	Root	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R1_Soil	TP1	B1	ctcc	R1	Soil	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R2_Rh	TP1	B1	ctcc	R2	Rhizosphere	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R2_Root	TP1	B1	ctcc	R2	Root	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R2_Soil	TP1	B1	ctcc	R2	Soil	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R3_Rh	TP1	B1	ctcc	R3	Rhizosphere	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R3_Root	TP1	B1	ctcc	R3	Root	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctcc_R3_Soil	TP1	B1	ctcc	R3	Soil	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B1_ctno_R1_Rh	TP1	B1	ctno	R1	Rhizosphere	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R1_Soil	TP1	B1	ctno	R1	Soil	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R2_Rh	TP1	B1	ctno	R2	Rhizosphere	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R2_Root	TP1	B1	ctno	R2	Root	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R2_Soil	TP1	B1	ctno	R2	Soil	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R3_Rh	TP1	B1	ctno	R3	Rhizosphere	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R3_Root	TP1	B1	ctno	R3	Root	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_ctno_R3_Soil	TP1	B1	ctno	R3	Soil	Conservation	Fallow	.	Pre-flowering		.
TP1_B1_stcc_R1_Rh	TP1	B1	stcc	R1	Rhizosphere	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B1_stcc_R1_Root	TP1	B1	stcc	R1	Root	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B1_stcc_R1_Soil	TP1	B1	stcc	R1	Soil	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B1_stcc_R3_Rh	TP1	B1	stcc	R3	Rhizosphere	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B1_stcc_R3_Root	TP1	B1	stcc	R3	Root	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B1_stno_R1_Rh	TP1	B1	stno	R1	Rhizosphere	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R1_Root	TP1	B1	stno	R1	Root	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R1_Soil	TP1	B1	stno	R1	Soil	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R2_Rh	TP1	B1	stno	R2	Rhizosphere	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R2_Soil	TP1	B1	stno	R2	Soil	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R3_Rh	TP1	B1	stno	R3	Rhizosphere	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R3_Root	TP1	B1	stno	R3	Root	Standard	Fallow	.	Pre-flowering		.
TP1_B1_stno_R3_Soil	TP1	B1	stno	R3	Soil	Standard	Fallow	.	Pre-flowering		.
TP1_B2_ctcc_R1_Rh	TP1	B2	ctcc	R1	Rhizosphere	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R1_Root	TP1	B2	ctcc	R1	Root	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R1_Soil	TP1	B2	ctcc	R1	Soil	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R2_Rh	TP1	B2	ctcc	R2	Rhizosphere	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R2_Root	TP1	B2	ctcc	R2	Root	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R2_Soil	TP1	B2	ctcc	R2	Soil	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R3_Root	TP1	B2	ctcc	R3	Root	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctcc_R3_Soil	TP1	B2	ctcc	R3	Soil	Conservation	Cover-Crop	.	Pre-flowering		.
TP1_B2_ctno_R1_Rh	TP1	B2	ctno	R1	Rhizosphere	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R1_Root	TP1	B2	ctno	R1	Root	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R1_Soil	TP1	B2	ctno	R1	Soil	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R2_Rh	TP1	B2	ctno	R2	Rhizosphere	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R2_Root	TP1	B2	ctno	R2	Root	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R2_Soil	TP1	B2	ctno	R2	Soil	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R3_Rh	TP1	B2	ctno	R3	Rhizosphere	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R3_Root	TP1	B2	ctno	R3	Root	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_ctno_R3_Soil	TP1	B2	ctno	R3	Soil	Conservation	Fallow	.	Pre-flowering		.
TP1_B2_stcc_R1_Rh	TP1	B2	stcc	R1	Rhizosphere	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B2_stcc_R1_Root	TP1	B2	stcc	R1	Root	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B2_stcc_R1_Soil	TP1	B2	stcc	R1	Soil	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B2_stcc_R2_Rh	TP1	B2	stcc	R2	Rhizosphere	Standard	Cover-Crop	.	Pre-flowering		.
TP1_B2_stcc_R2_Root	TP1	B2	stcc	R2	Root	Standard	Cover-Crop	.	Pre-flowering		.
