Sample_ID	Timepoint	Block	Treatment	Position	Sample_Type	Cover_Crop	Tilling	Depth	Plant_Height	Shoot_Biomass	Soil_Chemistry
TP1_B1_ctcc_R1_Rh	1	1	ctcc	R1	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B1_ctcc_R2_Rh	1	1	ctcc	R2	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B1_ctcc_R3_Rh	1	1	ctcc	R3	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B1_ctno_R1_Rh	1	1	ctno	R1	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B1_ctno_R2_Rh	1	1	ctno	R2	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B1_ctno_R3_Rh	1	1	ctno	R3	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B1_stcc_R1_Rh	1	1	stcc	R1	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B1_stcc_R3_Rh	1	1	stcc	R3	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B1_stno_R1_Rh	1	1	stno	R1	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B1_stno_R2_Rh	1	1	stno	R2	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B1_stno_R3_Rh	1	1	stno	R3	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B2_ctcc_R1_Rh	1	2	ctcc	R1	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B2_ctcc_R2_Rh	1	2	ctcc	R2	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B2_ctcc_R3_Rh	1	2	ctcc	R3	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B2_ctno_R1_Rh	1	2	ctno	R1	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B2_ctno_R2_Rh	1	2	ctno	R2	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B2_ctno_R3_Rh	1	2	ctno	R3	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B2_stcc_R1_Rh	1	2	stcc	R1	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B2_stcc_R2_Rh	1	2	stcc	R2	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B2_stcc_R3_Rh	1	2	stcc	R3	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B2_stno_R1_Rh	1	2	stno	R1	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B2_stno_R2_Rh	1	2	stno	R2	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B2_stno_R3_Rh	1	2	stno	R3	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B3_ctcc_R1_Rh	1	3	ctcc	R1	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B3_ctcc_R2_Rh	1	3	ctcc	R2	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B3_ctcc_R2_Rh1	1	3	ctcc	R2	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B3_ctcc_R2_Rhw	1	3	stcc	R2	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B3_ctcc_R3_Rh	1	3	ctcc	R3	Rhizosphere	Cover_Crop	Conservation	.	.	.	.
TP1_B3_CTCC_Rh_D0	1	3	ctcc	R1	Rhizosphere	Cover_Crop	Conservation	0_5cm	.	.	.
TP1_B3_CTCC_Rh_D5	1	3	ctcc	R1	Rhizosphere	Cover_Crop	Conservation	5_10cm	.	.	.
TP1_B3_ctno_R1_Rh	1	3	ctno	R1	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B3_ctno_R2_Rh	1	3	ctno	R2	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B3_ctno_R3_Rh	1	3	ctno	R3	Rhizosphere	Fallow	Conservation	.	.	.	.
TP1_B3_stcc_R1_Rh	1	3	stcc	R1	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B3_stcc_R3_Rh1	1	3	stcc	R3	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B3_stcc_R3_Rh3	1	3	stcc	R3	Rhizosphere	Cover_Crop	Standard	.	.	.	.
TP1_B3_stno_R1_Rh	1	3	stno	R1	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B3_stno_R2_Rh	1	3	stno	R2	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B3_stno_R3_Rh	1	3	stno	R3	Rhizosphere	Fallow	Standard	.	.	.	.
TP1_B1_ctcc_R1_Root	1	1	ctcc	R1	Root	Cover_Crop	Conservation	.	.	.	.
