ID	Sample	Timepoint	Block	Treatment	Position	Sample_Type	Till	Cover_Crop
output_HW15	TP3.B1.ctcc.R1.Rh	TP3	B1	ctcc	R1	Rhizosphere	Conservation	Cover-Crop
output_HW22	TP3.B1.ctcc.R1.S	TP3	B1	ctcc	R1	Soil	Conservation	Cover-Crop
output_HW08	TP3.B1.ctno.R1.Rh	TP3	B1	ctno	R1	Rhizosphere	Conservation	Fallow
output_HW11	TP3.B1.ctno.R1.S	TP3	B1	ctno	R1	Soil	Conservation	Fallow
output_HW14	TP3.B1.stcc.R1.Rh	TP3	B1	stcc	R1	Rhizosphere	Standard	Cover-Crop
output_HW21	TP3.B1.stno.R1.Rh	TP3	B1	stno	R1	Rhizosphere	Standard	Fallow
output_HW20	TP3.B1.stno.R1.S	TP3	B1	stno	R1	Soil	Standard	Fallow
output_HW04	TP3.B2.ctcc.R1.Rh	TP3	B2	ctcc	R1	Rhizosphere	Conservation	Cover-Crop
output_HW05	TP3.B2.ctno.R1.Rh	TP3	B2	ctno	R1	Rhizosphere	Conservation	Fallow
output_HW07	TP3.B2.ctno.R1.S	TP3	B2	ctno	R1	Soil	Conservation	Fallow
output_HW03	TP3.B2.stcc.R1.Rh	TP3	B2	stcc	R1	Rhizosphere	Standard	Cover-Crop
output_HW19	TP3.B2.stcc.R1.S	TP3	B2	stcc	R1	Soil	Standard	Cover-Crop
output_HW13	TP3.B2.stcc.R1.S.rep	TP3	B2	stcc	R1	Soil	Standard	Cover-Crop
output_HW06	TP3.B2.stno.R1.Rh	TP3	B2	stno	R1	Rhizosphere	Standard	Fallow
output_HW10	TP3.B2.stno.R1.S	TP3	B2	stno	R1	Soil	Standard	Fallow
output_HW09	TP3.B3.ctcc.R1.Rh	TP3	B3	ctcc	R1	Rhizosphere	Conservation	Cover-Crop
output_HW18	TP3.B3.ctcc.R1.S	TP3	B3	ctcc	R1	Soil	Conservation	Cover-Crop
output_HW01	TP3.B3.ctno.R1.Rh	TP3	B3	ctno	R1	Rhizosphere	Conservation	Fallow
output_HW17	TP3.B3.ctno.R1.S	TP3	B3	ctno	R1	Soil	Conservation	Fallow
output_HW24	TP3.B3.stcc.R1.Rh	TP3	B3	stcc	R1	Rhizosphere	Standard	Cover-Crop
output_HW12	TP3.B3.stcc.R1.S	TP3	B3	stcc	R1	Soil	Standard	Cover-Crop
output_HW02	TP3.B3.stno.R1.Rh	TP3	B3	stno	R1	Rhizosphere	Standard	Fallow
output_HW23	TP3.B3.stno.R1.S	TP3	B3	stno	R1	Soil	Standard	Fallow
