Timepoint	Plant.ID	Block	Treatment	Tilling	CoverCrop	Location	Height_cm	FreshShootMass_g	SMdivH	No.Tillers	Comments
TP3	dTP3.B1.ctcc.R1	1	ctcc	Conservation	Cover-Crop	R1	95.25	134	1.406824147	3	
TP3	dTP3.B1.ctno.R1	1	ctno	Conservation	Fallow	R1	110.49	334	3.022898	4	
TP3	dTP3.B1.stcc.R1	1	stcc	Standard	Cover-Crop	R1	105.41	302	2.86500332	5	
TP3	dTP3.B1.stno.R1	1	stno	Standard	Fallow	R1	107.95	620	5.743399722	7	partial flooding of field
TP3	dTP3.B2.ctcc.R1	2	ctcc	Conservation	Cover-Crop	R1	97.79	228	2.331526741	7	
TP3	dTP3.B2.ctno.R1	2	ctno	Conservation	Fallow	R1	115.57	222	1.920913732	4	
TP3	dTP3.B2.stcc.R1	2	stcc	Standard	Cover-Crop	R1	87.122	340	3.902573403	8	
TP3	dTP3.B2.stno.R1	2	stno	Standard	Fallow	R1	100.33	280	2.790790392	4	
TP3	dTP3.B3.ctcc.R1	3	ctcc	Conservation	Cover-Crop	R1	104.14	298	2.861532552	6	
TP3	dTP3.B3.ctno.R1	3	ctno	Conservation	Fallow	R1	110.49	352	3.18580867	3	
TP3	dTP3.B3.stno.R1	3	stcc	Standard	Cover-Crop	R1	96.52	552	5.719021964	8	
TP3	dTP3.B3.stcc.R1	3	stno	Standard	Fallow	R1	90.17	136	1.508262171	4	
TP3	rTP3.B1.ctcc.R1	1	ctcc	Conservation	Cover-Crop	R1	100.33	350	3.48848799	4	"collected 2 plants, 8 tillers"
TP3	rTP3.B1.ctno.R1	1	ctno	Conservation	Fallow	R1	128.27	374	2.915724643	3	
TP3	rTP3.B1.stcc.R1	1	stcc	Standard	Cover-Crop	R1	119.38	600	5.025967499	10	
TP3	rTP3.B1.stno.R1	1	stno	Standard	Fallow	R1	111.76	590	5.279169649	7	
TP3	rTP3.B2.ctcc.R1	2	ctcc	Conservation	Cover-Crop	R1	87.63	244	2.784434554	7	Took 4 tillered plant; 7 tillers from 2 plants
TP3	rTP3.B2.ctno.R1	2	ctno	Conservation	Fallow	R1	125.73	668	5.312972242	10	actually 2 plants
