Treatment	Year	YIELD LBS	Yield Kg	PLOT #	Tilling	CoverCrop
stcc	2016	1154	523.445168	21	Standard	CoverCrop
stno	2016	1306	592.391152	22	Standard	Fallow
ctno	2016	1358	615.977936	23	Conservation	Fallow
ctcc	2016	1186	537.960112	24	Conservation	CoverCrop
ctcc	2016	1208	547.939136	25	Conservation	CoverCrop
stcc	2016	1228	557.010976	26	Standard	CoverCrop
stno	2016	1254	568.804368	27	Standard	Fallow
ctno	2016	1120	508.02304	28	Conservation	Fallow
ctno	2016	1142	518.002064	16	Conservation	Fallow
ctcc	2016	1078	488.972176	15	Conservation	CoverCrop
stno	2016	1146	519.816432	14	Standard	Fallow
stcc	2016	1046	474.457232	13	Standard	CoverCrop
ctno	2016	1032	468.106944	4	Conservation	Fallow
ctcc	2016	960	435.44832	3	Conservation	CoverCrop
stno	2016	1018	461.756656	2	Standard	Fallow
stcc	2016	1176	533.424192	1	Standard	CoverCrop
ctcc	2017	372	168.736224	8	Conservation	CoverCrop
ctcc	2017	412	186.879904	9	Conservation	CoverCrop
ctcc	2017	.	.	18	Conservation	CoverCrop
ctcc	2017	746	338.379632	30	Conservation	CoverCrop
ctno	2017	510	231.33192	5	Conservation	Fallow
ctno	2017	502	227.703184	10	Conservation	Fallow
ctno	2017	.	.	17	Conservation	Fallow
ctno	2017	772	350.173024	29	Conservation	Fallow
stcc	2017	532	241.310944	7	Standard	CoverCrop
stcc	2017	438	198.673296	12	Standard	CoverCrop
stcc	2017	605	274.42316	20	Standard	CoverCrop
stcc	2017	922	418.211824	32	Standard	CoverCrop
stno	2017	602	273.062384	6	Standard	Fallow
stno	2017	398	180.529616	11	Standard	Fallow
stno	2017	452	205.023584	19	Standard	Fallow
stno	2017	940	426.37648	31	Standard	Fallow
