Symbol	Count	Annotation
A	2032	RNA processing and modification
B	2067	Chromatin structure and dynamics
C	29240	Energy production and conversion
D	5068	"Cell cycle control, cell division, chromosome partitioning"
E	25500	Amino acid transport and metabolism
F	5325	Nucleotide transport and metabolism
G	17519	Carbohydrate transport and metabolism
H	8537	Coenzyme transport and metabolism
I	12024	Lipid transport and metabolism
J	39530	"Translation, ribosomal structure and biogenesis"
K	25486	Transcription
L	17365	"Replication, recombination and repair"
M	10159	Cell wall/membrane/envelope biogenesis
N	1334	Cell motility
O	37492	"Posttranslational modification, protein turnover, chaperones"
P	14991	Inorganic ion transport and metabolism
Q	7962	"Secondary metabolites biosynthesis, transport and catabolism"
R	50393	General function prediction only
S	25990	Function unknown
T	18225	Signal transduction mechanisms
U	7450	"Intracellular trafficking, secretion, and vesicular transport"
V	2968	Defense mechanisms
Y	176	Nuclear structure
Z	4681	Cytoskeleton
