SampleID	Timepoint	Treatment	SampleType	Species	Ploidy	Photosynthesis	Block	GenomeLineage
1_1_D_RZ	late	Drought	Rhizosphere	Bd	.	C3	1	.
1_1_W_Root	late	Control	Root	Bd	.	C3	1	.
1_1_W_RZ	late	Control	Rhizosphere	Bd	.	C3	1	.
1_10_D_Root	late	Drought	Root	Ls	.	out	1	.
1_10_D_RZ	late	Drought	Rhizosphere	Ls	.	out	1	.
1_10_D_Soil	late	Drought	Soil	Ls	.	out	1	.
1_10_W_Root	late	Control	Root	Ls	.	out	1	.
1_10_W_RZ	late	Control	Rhizosphere	Ls	.	out	1	.
1_10_W_Soil	late	Control	Soil	Ls	.	out	1	.
1_11_D_Root	late	Drought	Root	Hv	.	C3	1	.
1_11_D_RZ	late	Drought	Rhizosphere	Hv	.	C3	1	.
1_11_W_Root	late	Control	Root	Hv	.	C3	1	.
1_11_W_RZ	late	Control	Rhizosphere	Hv	.	C3	1	.
1_12_D_Root	late	Drought	Root	SbA	.	C4	1	.
1_12_D_RZ	late	Drought	Rhizosphere	SbA	.	C4	1	.
1_12_D_Soil	late	Drought	Soil	SbA	.	C4	1	.
1_12_W_Root	late	Control	Root	SbA	.	C4	1	.
1_12_W_RZ	late	Control	Rhizosphere	SbA	.	C4	1	.
1_12_W_Soil	late	Control	Soil	SbA	.	C4	1	.
1_13_D_Root	late	Drought	Root	Sl	.	C4	1	.
1_13_D_RZ	late	Drought	Rhizosphere	Sl	.	C4	1	.
1_13_W_Root	late	Control	Root	Sl	.	C4	1	.
1_13_W_RZ	late	Control	Rhizosphere	Sl	.	C4	1	.
1_14_D_Root	late	Drought	Root	Ms	.	C4	1	.
1_14_D_RZ	late	Drought	Rhizosphere	Ms	.	C4	1	.
1_14_D_Soil	late	Drought	Soil	Ms	.	C4	1	.
1_14_W_Root	late	Control	Root	Ms	.	C4	1	.
1_14_W_RZ	late	Control	Rhizosphere	Ms	.	C4	1	.
1_14_W_Soil	late	Control	Soil	Ms	.	C4	1	.
1_15_D_Root	late	Drought	Root	As	.	C3	1	.
1_15_D_RZ	late	Drought	Rhizosphere	As	.	C3	1	.
1_15_W_Root	late	Control	Root	As	.	C3	1	.
1_15_W_RZ	late	Control	Rhizosphere	As	.	C3	1	.
1_16_D_Root	late	Drought	Root	TaG	6n	C3	1	AABBDD
1_16_D_RZ	late	Drought	Rhizosphere	TaG	6n	C3	1	AABBDD
1_16_D_Soil	late	Drought	Soil	TaG	6n	C3	1	AABBDD
1_16_W_Root	late	Control	Root	TaG	6n	C3	1	AABBDD
1_16_W_RZ	late	Control	Rhizosphere	TaG	6n	C3	1	AABBDD
1_16_W_Soil	late	Control	Soil	TaG	6n	C3	1	AABBDD
1_17_D_Root	late	Drought	Root	Zm	.	C4	1	.
1_17_D_RZ	late	Drought	Rhizosphere	Zm	.	C4	1	.
1_17_W_Root	late	Control	Root	Zm	.	C4	1	.
