SampleID	TimePoint	Genotype	Group	Genus	Species	Block	Treatment	SampleType	Ploidy	Status	CountryOrigin	RegionOrigin	PloidyGroup	GenomeLineage
A02_11_D_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	11	Drought	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_17_D_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	17	Drought	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_18_W_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	18	Control	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_23_W_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	23	Control	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_24_D_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	24	Drought	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_25_D_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	25	Drought	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_26_W_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	26	Control	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_27_D_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	27	Drought	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A02_28_W_RH	1	A02	W	Aegilops	Aegilops_tauschii_Coss	28	Control	Rhizosphere	2n	Wild	China	Asia	Diploid	DD
A03_11_D_RH	1	A03	W	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	11	Drought	Rhizosphere	2n	Wild	Jordan	MiddleEast	Diploid	SS
A03_17_D_RH	1	A03	W	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	17	Drought	Rhizosphere	2n	Wild	Jordan	MiddleEast	Diploid	SS
A03_18_W_RH	1	A03	W	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	18	Control	Rhizosphere	2n	Wild	Jordan	MiddleEast	Diploid	SS
