Submission_ID	Tube_ID	Sample_ID	Type	Date_Collected	Sample_Type	gGenus	sSpecies	Group	Ploidy	PloidyGroup	RegionOrigin	CountryOrigin	Status	Comments	GenomeLineage
A04_1_Root_07132017	A04.1.Root 7/13/17	A04_1_Root	A_Root	7/13/17	Root	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_1_Soil_07132017	A04.1.soil 7/13	A04_1_Soil	A_Soil	7/13/17	Soil	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_18_Rh_07132017	A04 18 7/13 Rh	A04_18_Rh	A_Rh	7/13/17	Rhizosphere	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_18_Root_07132017	A04.18.Root 7/13/17	A04_18_Root	A_Root	7/13/17	Root	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_18_Soil_07132017	A04 18 7/13 soil	A04_18_Soil	A_Soil	7/13/17	Soil	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_49_Soil_07132017	A04 49 7/13 soil	A04_49_Soil	A_Soil	7/13/17	Soil	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_6_Rh_07132017	A04 6 7/13 Rh	A04_6_Rh	A_Rh	7/13/17	Rhizosphere	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_6_Root_07132017	A04.6.Root 7/13/17	A04_6_Root	A_Root	7/13/17	Root	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
A04_6_Soil_07132017	A04 6 7/13 S	A04_6_Soil	A_Soil	7/13/17	Soil	Aegilops	Aegilops_searsii_Feldman_&_Kislev_ex_K_Hammer	aW	2n	Diploid	MiddleEast	Israel	Wild	.	SS
Autoclaved_Soil_06232017	soil auto 6/23	Autoclaved_Soil	Auto_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_07032017	soil auto 7/3	Autoclaved_Soil	Auto_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_1_07032017	soil auto 7/3 tp2 1	Autoclaved_Soil_1	Auto_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_1_07102017	soil auto 7/10 1	Autoclaved_Soil_1	Auto_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_2_07102017	soil auto 7/10 2	Autoclaved_Soil_2	Auto_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_23_07132017	soil auto 23 7/13	Autoclaved_Soil_23	Auto_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_3_07032017	soil auto tp2 3 7/3	Autoclaved_Soil_3	Auto_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_3_07102013	auto soil 3 7/10/17	Autoclaved_Soil_3	Auto_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_3_07102017	soil auto 3 7/10	Autoclaved_Soil_3	Auto_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_44_07132017	soil auto 44 7/13	Autoclaved_Soil_44	Auto_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_5_07032017	soil auto 5 7/3	Autoclaved_Soil_5	Auto_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_50_07132017	soil auto 50 7/13	Autoclaved_Soil_50	Auto_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
