Sample_ID	SoilBatch	ID	Treatment	Temp_Trt	Water_Trt	Experiment	SampleType	ST	Replicate	HarvestDate	TimePoint
S_H2_D_2_5_repRoot_11_28_2018	.	S.H2.D.2.5.repRoot	H2.D	38C	Drought	Actual	Root	repRoot	5	11.28.2018	2
S_H1_W_2_3or4_Root_11_28_2018	.	S.H1.W.2.3or4.Root	H1.W	30C	Watered	Actual	Root	Root	3or4	11.28.2018	2
S_H2_W_1_1_repRoot_11_14_2018	.	S.H2.W.1.1.repRoot	H2.W	38C	Watered	Actual	Root	repRoot	1	11.14.2018	1
S_H2_W_2_2_redoS_11_2018	.	S.H2.W.2.2.redoS	H2.W	38C	Watered	Actual	Soil	repSoil	2	11.28.2018	2
Batch7_11_2018	7	Batch7	.	.	.	Actual	Mix	Mix	.	11.2018	11.2018
											
S_C_D_1_1_Root_11_14_2018	.	S.C.D.1.1.Root	C.D	22C	Drought	Actual	Root	Root	1	11.14.2018	1
S_C_D_1_2_Root_11_14_2018	.	S.C.D.1.2.Root	C.D	22C	Drought	Actual	Root	Root	2	11.14.2018	1
S_C_D_1_4_Root_11_14_2018	.	S.C.D.1.4.Root	C.D	22C	Drought	Actual	Root	Root	4	11.14.2018	1
S_C_D_1_5_Root_11_14_2018	.	S.C.D.1.5.Root	C.D	22C	Drought	Actual	Root	Root	5	11.14.2018	1
S_C_D_1_1_S_11_2018	.	S.C.D.1.1.S	C.D	22C	Drought	Actual	Soil	Soil	1	11.14.2018	1
S_C_D_1_4_S_11_14_2018	.	S.C.D.1.4.S	C.D	22C	Drought	Actual	Soil	Soil	4	11.14.2018	1
S_C_D_1_5_S_11_2018	.	S.C.D.1.5.S	C.D	22C	Drought	Actual	Soil	Soil	5	11.14.2018	1
S_C_W_1_1_Root_11_14_2018	.	S.C.W.1.1.Root	C.W	22C	Watered	Actual	Root	Root	1	11.14.2018	1
S_C_W_1_2_repRoot_11_14_2018	.	S.C.W.1.2.repRoot	C.W	22C	Watered	Actual	Root	repRoot	2	11.14.2018	1
S_C_W_1_2_Root_11_14_2018	.	S.C.W.1.2.Root	C.W	22C	Watered	Actual	Root	Root	2	11.14.2018	1
S_C_W_1_3_Root_11_14_2018	.	S.C.W.1.3.Root	C.W	22C	Watered	Actual	Root	Root	3	11.14.2018	1
S_C_W_1_4_Root_11_14_2018	.	S.C.W.1.4.Root	C.W	22C	Watered	Actual	Root	Root	4	11.14.2018	1
S_C_W_1_5_Root_11_14_2018	.	S.C.W.1.5.Root	C.W	22C	Watered	Actual	Root	Root	5	11.14.2018	1
S_C_W_1_1_11_14_2018	.	S.C.W.1.1	C.W	22C	Watered	Actual	Soil	S	1	11.14.2018	1
S_C_W_1_2_S_11_14_2018	.	S.C.W.1.2.S	C.W	22C	Watered	Actual	Soil	Soil	2	11.14.2018	1
S_C_W_1_3_11_14_2018	.	S.C.W.1.3	C.W	22C	Watered	Actual	Soil	S	3	11.14.2018	1
S_C_W_1_4_S_11_14_2018	.	S.C.W.1.4.S	C.W	22C	Watered	Actual	Soil	Soil	4	11.14.2018	1
S_C_W_1_5_S_11_14_2018	.	S.C.W.1.5.S	C.W	22C	Watered	Actual	Soil	Soil	5	11.14.2018	1
S_H1_D_1_2_Root_11_14_2018	.	S.H1.D.1.2.Root	H1.D	30C	Drought	Actual	Root	Root	2	11.14.2018	1
S_H1_D_1_4_Root_11_14_2018	.	S.H1.D.1.4.Root	H1.D	30C	Drought	Actual	Root	Root	4	11.14.2018	1
S_H1_D_1_5_repRoot_11_14_2018	.	S.H1.D.1.5.repRoot	H1.D	30C	Drought	Actual	Root	repRoot	5	11.14.2018	1
S_H1_D_1_5_Root_11_14_2018	.	S.H1.D.1.5.Root	H1.D	30C	Drought	Actual	Root	Root	5	11.14.2018	1
S_H1_D_1_1_S_11_14_2018	.	S.H1.D.1.1.S	H1.D	30C	Drought	Actual	Soil	Soil	1	11.14.2018	1
S_H1_D_1_2_S_11_2018	.	S.H1.D.1.2.S	H1.D	30C	Drought	Actual	Soil	Soil	2	11.14.2018	1
S_H1_D_1_3_S_11_14_2018	.	S.H1.D.1.3.S	H1.D	30C	Drought	Actual	Soil	Soil	3	11.14.2018	1
S_H1_D_1_4_S_11_14_2018	.	S.H1.D.1.4.S	H1.D	30C	Drought	Actual	Soil	Soil	4	11.14.2018	1
S_H1_D_1_5_S_11_2018	.	S.H1.D.1.5.S	H1.D	30C	Drought	Actual	Soil	Soil	5	11.14.2018	1
S_H1_W_1_1_Root_11_14_2018	.	S.H1.W.1.1.Root	H1.W	30C	Watered	Actual	Root	Root	1	11.14.2018	1
S_H1_W_1_3_Root_11_14_2018	.	S.H1.W.1.3.Root	H1.W	30C	Watered	Actual	Root	Root	3	11.14.2018	1
S_H1_W_1_5_Root_11_14_2018	.	S.H1.W.1.5.Root	H1.W	30C	Watered	Actual	Root	Root	5	11.14.2018	1
S_H1_W_1_1_S_11_14_2018	.	S.H1.W.1.1.S	H1.W	30C	Watered	Actual	Soil	Soil	1	11.14.2018	1
S_H1_W_1_3_S_11_14_2018	.	S.H1.W.1.3.S	H1.W	30C	Watered	Actual	Soil	Soil	3	11.14.2018	1
S_H1_W_1_4_S_11_14_2018	.	S.H1.W.1.4.S	H1.W	30C	Watered	Actual	Soil	Soil	4	11.14.2018	1
S_H1_W_1_5_S_11_14_2018	.	S.H1.W.1.5.S	H1.W	30C	Watered	Actual	Soil	Soil	5	11.14.2018	1
S_H2_D_1_1_Root_11_14_2018	.	S.H2.D.1.1.Root	H2.D	38C	Drought	Actual	Root	Root	1	11.14.2018	1
S_H2_D_1_2_Root_11_14_2018	.	S.H2.D.1.2.Root	H2.D	38C	Drought	Actual	Root	Root	2	11.14.2018	1
S_H2_D_1_3_Root_11_14_2018	.	S.H2.D.1.3.Root	H2.D	38C	Drought	Actual	Root	Root	3	11.14.2018	1
S_H2_D_1_4_Root_11_14_2018	.	S.H2.D.1.4.Root	H2.D	38C	Drought	Actual	Root	Root	4	11.14.2018	1
S_H2_D_1_1_S_11_14_2018	.	S.H2.D.1.1.S	H2.D	38C	Drought	Actual	Soil	Soil	1	11.14.2018	1
S_H2_D_1_2_S_11_14_2018	.	S.H2.D.1.2.S	H2.D	38C	Drought	Actual	Soil	Soil	2	11.14.2018	1
S_H2_D_1_3_S_11_14_2018	.	S.H2.D.1.3.S	H2.D	38C	Drought	Actual	Soil	Soil	3	11.14.2018	1
S_H2_D_1_4_S_11_14_2018	.	S.H2.D.1.4.S	H2.D	38C	Drought	Actual	Soil	Soil	4	11.14.2018	1
S_H2_D_1_5_S_11_14_2018	.	S.H2.D.1.5.S	H2.D	38C	Drought	Actual	Soil	Soil	5	11.14.2018	1
S_H2_W_1_1_Root_11_14_2018	.	S.H2.W.1.1.Root	H2.W	38C	Watered	Actual	Root	Root	1	11.14.2018	1
S_H2_W_1_2_Root_11_14_2018	.	S.H2.W.1.2.Root	H2.W	38C	Watered	Actual	Root	Root	2	11.14.2018	1
S_H2_W_1_3_Root_11_14_2018	.	S.H2.W.1.3.Root	H2.W	38C	Watered	Actual	Root	Root	3	11.14.2018	1
S_H2_W_1_4_Root_11_14_2018	.	S.H2.W.1.4.Root	H2.W	38C	Watered	Actual	Root	Root	4	11.14.2018	1
S_H2_W_1_5_Root_11_14_2018	.	S.H2.W.1.5.Root	H2.W	38C	Watered	Actual	Root	Root	5	11.14.2018	1
S_H2_W_1_1_11_14_2018	.	S.H2.W.1.1	H2.W	38C	Watered	Actual	Soil	S	1	11.14.2018	1
S_H2_W_1_4_S_11_14_2018	.	S.H2.W.1.4.S	H2.W	38C	Watered	Actual	Soil	Soil	4	11.14.2018	1
S_H2_W_1_5_11_14_2018	.	S.H2.W.1.5	H2.W	38C	Watered	Actual	Soil	S	5	11.14.2018	1
S_H2_W_1_6_S_11_2018	.	S.H2.W.1.6.S	H2.W	38C	Watered	Actual	Soil	Soil	6	11.14.2018	1
S_C_D_2_1_Root_11_28_2018	.	S.C.D.2.1.Root	C.D	22C	Drought	Actual	Root	Root	1	11.28.2018	2
S_C_D_2_2_Root_11_28_2018	.	S.C.D.2.2.Root	C.D	22C	Drought	Actual	Root	Root	2	11.28.2018	2
S_C_D_2_3_Root_11_28_2018	.	S.C.D.2.3.Root	C.D	22C	Drought	Actual	Root	Root	3	11.28.2018	2
S_C_D_2_4_Root_11_28_2018	.	S.C.D.2.4.Root	C.D	22C	Drought	Actual	Root	Root	4	11.28.2018	2
S_C_D_2_5_Root_11_28_2018	.	S.C.D.2.5.Root	C.D	22C	Drought	Actual	Root	Root	5	11.28.2018	2
S_C_D_2_1_S_11_28_2018	.	S.C.D.2.1.S	C.D	22C	Drought	Actual	Soil	Soil	1	11.28.2018	2
S_C_D_2_2_S_11_2018	.	S.C.D.2.2.S	C.D	22C	Drought	Actual	Soil	Soil	2	11.28.2018	2
S_C_D_2_3_S_11_2018	.	S.C.D.2.3.S	C.D	22C	Drought	Actual	Soil	Soil	3	11.28.2018	2
S_C_D_2_4_S_11_28_2018	.	S.C.D.2.4.S	C.D	22C	Drought	Actual	Soil	Soil	4	11.28.2018	2
S_C_D_2_5_11_28_2018	.	S.C.D.2.5	C.D	22C	Drought	Actual	Soil	S	5	11.28.2018	2
S_C_W_2_1_Root_11_28_2018	.	S.C.W.2.1.Root	C.W	22C	Watered	Actual	Root	Root	1	11.28.2018	2
S_C_W_2_2_Root_11_28_2018	.	S.C.W.2.2.Root	C.W	22C	Watered	Actual	Root	Root	2	11.28.2018	2
S_C_W_2_3_Root_b_11_28_2018	.	S.C.W.2.3.Root	C.W	22C	Watered	Actual	Root	repRoot	3	11.28.2018	2
S_C_W_2_3_Root_11_28_2018	.	S.C.W.2.3.Root	C.W	22C	Watered	Actual	Root	Root	3	11.28.2018	2
S_C_W_2_4_Root_11_28_2018	.	S.C.W.2.4.Root	C.W	22C	Watered	Actual	Root	Root	4	11.28.2018	2
S_C_W_2_5_Root_11_28_2018	.	S.C.W.2.5.Root	C.W	22C	Watered	Actual	Root	Root	5	11.28.2018	2
S_C_W_2_1_11_28_2018	.	S.C.W.2.1	C.W	22C	Watered	Actual	Soil	S	1	11.28.2018	2
S_C_W_2_1_S_11_19_2018	.	S.C.W.2.1.S	C.W	22C	Watered	Actual	Soil	Soil	1	.	2
S_C_W_2_2_11_28_2018	.	S.C.W.2.2	C.W	22C	Watered	Actual	Soil	S	2	11.28.2018	2
S_C_W_2_3_11_28_2018	.	S.C.W.2.3	C.W	22C	Watered	Actual	Soil	S	3	11.28.2018	2
S_C_W_2_4_11_28_2018	.	S.C.W.2.4	C.W	22C	Watered	Actual	Soil	S	4	11.28.2018	2
S_H1_D_2_1_Root_11_28_2018	.	S.H1.D.2.1.Root	H1.D	30C	Drought	Actual	Root	Root	1	11.28.2018	2
S_H1_D_2_2_Root_11_28_2018	.	S.H1.D.2.2.Root	H1.D	30C	Drought	Actual	Root	Root	2	11.28.2018	2
S_H1_D_2_3_Root_11_28_2018	.	S.H1.D.2.3.Root	H1.D	30C	Drought	Actual	Root	Root	3	11.28.2018	2
S_H1_D_2_4_Root_11_28_2018	.	S.H1.D.2.4.Root	H1.D	30C	Drought	Actual	Root	Root	4	11.28.2018	2
S_H1_D_2_5_Root_11_28_2018	.	S.H1.D.2.5.Root	H1.D	30C	Drought	Actual	Root	Root	5	11.28.2018	2
