ID	SoilBatch	Treatment	Temp_Trt	Water_Trt	Timepoint	PlantAge	DaysStressed	Height	Dead	Limp	FreshShoot	DryShoot	ShootWaterPer	SoilMoisture	LeafRWC	FreshLeaf	DriedLeaf
S.H2.D.1.3	9	H2.D	H2	Drought	1	16	7	20	N	N	0.16	0.008	95	14.87	90.625	0.059	0.001
S.H2.D.1.4	5	H2.D	H2	Drought	1	16	7	17	N	N	0.217	0.034	84.332	12.036	94.595	0.036	0.001
S.H2.W.1.1	13	H2.W	H2	Watered	1	16	7	28	N	N	0.596	0.054	90.94	31.89	97.902	0.142	0.002
S.H2.W.1.3	3	H2.W	H2	Watered	1	16	7	25.5	N	N	0.386	0.023	94.041	33.502	100	0.076	0.003
S.H2.W.1.2	14	H2.W	H2	Watered	1	16	7	29.5	N	N	0.51	0.039	92.353	31.163	94	0.142	0.001
S.H1.D.1.1	2.3	H1.D	H1	Drought	1	16	7	28	N	N	0.54	0.067	87.593	9.4	90.698	0.12	0.003
S.H1.D.1.4	15	H1.D	H1	Drought	1	16	7	29	N	N	0.409	0.047	88.509	10.635	90.395	0.174	0.014
S.H1.W.1.3	4	H1.W	H1	Watered	1	16	7	29	N	N	0.709	0.047	93.371	29.933	94.41	0.157	0.005
S.H1.W.1.1	2	H1.W	H1	Watered	1	16	7	35	N	N	0.689	0.048	93.033	25.953	43.154	0.215	0.007
S.C.W.1.5	14	C.W	C	Watered	1	16	7	32.5	N	N	1.375	0.128	90.691	33.815	96.405	0.65	0.06
S.C.W.1.3	16.17	C.W	C	Watered	1	16	7	26	N	N	0.618	0.048	92.233	34.269	98.684	0.156	0.006
S.C.W.1.1	2	C.W	C	Watered	1	16	7	32.5	N	N	1.955	0.173	91.151	31.145	98.091	0.743	0.075
S.C.W.1.2	9	C.W	C	Watered	1	16	7	29.5	N	N	0.833	0.069	91.717	31.453	100	0.171	0.01
S.C.W.1.4	15	C.W	C	Watered	1	16	7	30	N	N	1.216	0.111	90.872	32.279	93.439	0.448	0.035
S.H2.D.1.5	4.6	H2.D	H2	Drought	1	16	7	19.2	N	Y	0.488	0.064	86.885	16.219	90.722	0.091	0.003
S.H2.D.1.1	7.8	H2.D	H2	Drought	1	16	7	24.5	N	Y	0.275	0.027	90.182	12.619	96.667	0.089	0.002
S.H2.D.1.2	10	H2.D	H2	Drought	1	16	7	19.4	N	Y	0.233	0.001	99.571	11.573	100	0.058	0.001
S.H2.W.1.4	17	H2.W	H2	Watered	1	16	7	33	N	N	0.844	0.061	92.773	35.516	100	0.265	0.018
S.H2.W.1.5	5	H2.W	H2	Watered	1	16	7	27.2	N	N	0.749	0.061	91.856	31.097	97.024	0.172	0.009
S.H1.D.1.5	11	H1.D	H1	Drought	1	16	7	23.4	N	Y	0.234	0.023	90.171	15.066	91.667	0.079	0.002
S.H1.D.1.2	9.1	H1.D	H1	Drought	1	16	7	21.7	N	Y	0.317	0.025	92.114	20.631	100	0.12	0.002
S.H1.D.1.3	7	H1.D	H1	Drought	1	16	7	31.2	N	Y	0.684	0.05	92.69	26.024	97.744	0.131	0.001
S.H1.W.1.4	17	H1.W	H1	Watered	1	16	7	34.8	N	N	0.676	0.034	94.97	31.453	95.567	0.2	0.006
S.H1.W.1.5	11	H1.W	H1	Watered	1	16	7	30.2	N	N	0.821	0.05	93.91	.	100	0.205	0.004
S.C.D.1.2	8.9	C.D	C	Drought	1	16	7	29.6	N	N	2.497	0.217	91.31	28.926	98.636	0.729	0.078
S.C.D.1.4	15	C.D	C	Drought	1	16	7	19	N	N	0.529	0.082	84.499	31.722	100	0.223	0.016
